vendor,catalog,description,bin_locations,ai_keywords
BRI,103S,"1"" STEEL LOCKNUT",{18-46-703},"{""1 inch steel locknut"",locknut,""lock nut"",""metal locknut"",""NEMA type"",BRI,""catalog 103S"",fastener,""steel hardware"",""electrical connector"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,104S,"1-1/4"" STEEL LOCKNUT",{18-46-704},"{""1-1/4 inch steel locknut"",locknut,""lock nut"",N/A,steel,N/A,""NEMA N/A"",""1.25 inch locknut"",""electrical locknut"","" conduit locknut"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm""}"
BRI,105S,"1-1/2"" STEEL LOCKNUT",{18-46-801},"{""1-1/2\"" steel locknut"",locknut,""locking nut"",""steel lock nut"",SLN,metal,N/A,""NEMA type N/A"",""heavy-duty locknut"",""rated for electrical use"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1061,"3/4"" X 1/2"" REDUCING WASHER",{18-44-601},"{""3/4 inch reducing washer"",""reducing washer"",washer,""BRI reducing washer"",""reducing washer 3/4 x 1/2"",""NEMA approved reducing washer"",""red washer"",""metal washer"",""electrical hardware"",""washers and spacers"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1062,"1"" X 1/2"" REDUCING WASHER",{18-44-602},"{""1 inch reducing washer"",""reducing washer"",washer,""1/2 inch washer"",""BRI catalog 1062"",""red washer"",""mechanical fastener"",hardware,N/A,N/A,12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,1063,"1"" X 3/4"" REDUCING WASHER",{18-44-603},"{""Reducing Washer"",Washer,""1 inch reducing washer"",""3/4 inch washer"",""BRI washer"",""Red washer"",""NEMA reducing washer"",""metal reducing washer"",""high strength washer"",""multi-size washer"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,1064,"1-1/4"" X 1/2"" REDUCING WASHER",{18-42-509},"{""1-1/4\"" X 1/2\"" REDUCING WASHER"",""reducing washer"",washer,reducer,BRI,metal,N/A,""catalog 1064"",""plumbing fittings"",""hardware components"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1065,"1-1/4"" X 3/4"" REDUCING WASHER",{18-44-605},"{""1-1/4 inch reducing washer"",""reducing washer"",""adapter washer"",""BRI washer"",""1065 BRI reducing washer"",""red washer"",""plastic reducing washer"",""rubber washer"",""reducing ring"",""washer for conduit"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm""}"
BRI,1066,"1-1/4"" X 1"" REDUCING WASHER",{18-44-606},"{""1-1/4 inch reducing washer"",""reducing washer"",washer,""sized washer"",""BRI reducing washer"",""red washer"",""metal washer"",""industrial washer"",""type A washer"",""NEMA type washer"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,1067,"1-1/2"" X 1/2"" REDUCING WASHER",{18-44-607},"{""1-1/2 inch reducing washer"",""reducing washer"",washer,""BRI reducing washer"",""1.5 inch x 0.5 inch washer"",""red washer"",""plastic reducing washer"",""NEMA type reducing washer"",""washer for conduit"",""electrical reducing accessory"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1068,"1-1/2"" X 3/4"" REDUCING WASHER",{18-44-608},"{""1-1/2 inch reducing washer"",""3/4 inch washer"",""reducing washer"",""washer BRI"",""BRI 1068"",""circular washer"",""metal washer"",""red washer"",""mechanical part"",N/A,38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm""}"
BRI,1069,"1-1/2"" X 1"" REDUCING WASHER",{18-44-701},"{""1-1/2 inch reducing washer"",""reducing washer"",washer,N/A,plastic,N/A,N/A,""BRI reducing washer"",""1069 catalog reducing washer"",""commercial grade washer"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,106S,"2"" STEEL LOCKNUT",{18-46-802},"{""2 inch steel locknut"",locknut,nut,""lock nut"",""NEMA Locknut"",""Brass Accredited Steel"",""BRI 106S"",""steel fastener"",""electrical hardware"",""2\"" locknut"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,1070,"1-1/2"" X 1-1/4"" REDUCING WASHER",{18-44-702},"{""1-1/2 inch reducing washer"",washers,""reducer washer"",""reducing bushing"",""BRI washer"",""plastic reducing washer"",""hardware fitting"",""size 1-1/2 to 1-1/4"",N/A,N/A,38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm""}"
BRI,1071,"2"" X 1/2"" REDUCING WASHER",{18-44-703},"{""2 inch reducing washer"",""reducing washer"",washer,""BRI 1071"",""2 in x 1/2 in washer"",fitting,""plastic reducing washer"",""NEMA washer"",""commercial grade washer"",""hardware components"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,1072,"2"" X 3/4"" REDUCING WASHER",{18-44-704},"{""2 inch reducing washer"",""reducing washer"",washer,""2\"" x 3/4\"" washer"",BRI,1072,""red washer"",""reducer washer"",""steel reducing washer"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,1073,"2"" X 1"" REDUCING WASHER",{18-44-705},"{""2 inch reducing washer"",""reducing washer"",washer,""Red washer"",""BRI reducing washer"",""washer 2x1"",""NEMA reducing washer"",""metal reducing washer"",""BRI washer"",""2'x1' washer"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,1074,"2"" X 1-1/4"" REDUCING WASHER",{18-44-706},"{""2 inch reducing washer"",""1-1/4 inch reducer"",""reducing washer BRI"",washer,""red reducing washer"",""2 inch to 1-1/4 inch washer"",""plastic washer"",N/A,N/A,N/A,31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,1075,"2"" X 1-1/2"" REDUCING WASHER",{18-44-707},"{""2 inch reducing washer"",""1.5 inch reducing washer"",washer,sleeve,""BRI reducing washer"",""washer material"",""NEMA type"",""washers and spacers"",""reducing fittings"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,1078,"2-1/2"" X 1"" REDUCING WASHER",{00-00-811},"{""2-1/2\"" X 1\"" REDUCING WASHER"",""reducing washer"",""screw washer"",""reducer washer"",washer,""metal reducing washer"",N/A,BRI,""catalog 1078"",N/A,63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,1079,"2-1/2"" X 1-1/4"" REDUCING WASHER",{18-44-709},"{""Reducing Washer"",""2-1/2 inch reducing washer"",""1-1/4 inch washer"",washer,""BRI reducing washer"",""mechanical parts"",hardware,N/A,steel,N/A,63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm""}"
BRI,107S,"2-1/2"" STEEL LOCKNUT",{18-46-803},"{""2-1/2 inch steel locknut"",locknut,""lock nut"",""2.5 inch locknut"",""steel locknut"",""BRI 107S"",""NEMA locknut"",""metal locknut"",""NEMA type"",""electrical locknut"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1080,"2-1/2"" X 1-1/2"" REDUCING WASHER",{18-44-710},"{""reducing washer"",washer,""sizing washer"",""reducer washer"",""2-1/2 inch reducing washer"",""1-1/2 inch washer"",""BRI reducing washer"",""plastic washer"",""washers for electrical"",""NEMA washer"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1081,"2-1/2"" X 2"" REDUCING WASHER",{18-44-801},"{""2-1/2 inch reducing washer"",""reducing washer"",washer,""BRI catalog 1081"",""mechanical fastener"",""metal washer"",N/A,""red reducing washer"",""reducing washer specifications"",""standard part"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,1086,"3"" X 1-1/2"" REDUCING WASHER",{18-44-803},"{""3 Inch Reducing Washer"",""Reducing Washer"",Washer,""3\"" X 1-1/2\"" Washer"",""Diameter Reduction Washer"",""Red Washer"",""BRI Reducing Washer"",""NEMA Washer"",""Plastic Reducing Washer"",""Rating: Standard"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",76.2mm,""76.2 mm"",76mm,""76 mm"",7.62cm,""7.62 cm"",7.6cm,""7.6 cm""}"
BRI,1087,"3"" X 2"" REDUCING WASHER",{18-44-804},"{""3 inch reducing washer"",""reducer washer"",""reducing bushing"",""3x2 washer"",""washer for conduit fittings"",""red washer"",""metal reducing washer"",""type A reducing washer"",76.2mm,""76.2 mm"",76mm,""76 mm"",7.62cm,""7.62 cm"",7.6cm,""7.6 cm"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,1088,"3"" X 2-1/2"" REDUCING WASHER",{18-44-805},"{""3 inch reducing washer"",""reducer washer"",""sizing washer"",""reduction washer"",""metal reducing washer"",""NEMA reducing washer"",""BRI reducing washer"",""1088 washer"",""reducing disc"",""washer for plumbing"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",76.2mm,""76.2 mm"",76mm,""76 mm"",7.62cm,""7.62 cm"",7.6cm,""7.6 cm""}"
BRI,10898,"3-1/2"" X 3"" REDUCING WASHER",{18-42-504},"{""3-1/2' reducing washer"",""reducing washer"",washer,""washer 3-1/2 inch"",""Bri reducing washer"",N/A,""red washer"",""BRI washer"",""material: metal"",88.9mm,""88.9 mm"",89mm,""89 mm"",8.89cm,""8.89 cm"",8.9cm,""8.9 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",76.2mm,""76.2 mm"",76mm,""76 mm"",7.62cm,""7.62 cm"",7.6cm,""7.6 cm""}"
BRI,108S,"3"" STEEL LOCKNUT",{18-46-804},"{""3 inch steel locknut"",locknut,""lock nut"",""steel locknut"",""NEMA type locknut"",""metal fastener"",""locknut for conduit"",""3 inch conduit locknut"",""locknut steel"",""BRI 108S"",76.2mm,""76.2 mm"",76mm,""76 mm"",7.62cm,""7.62 cm"",7.6cm,""7.6 cm""}"
BRI,10906,"4"" X 2"" REDUCING WASHER",{18-44-806},"{""4 inch reducing washer"",""reducing washer"",washer,""BRI reducing washer"",""red reducing washer"",""4x2 washer"",""metal washer"",""NEMA washer"",""washers for fastening"",""4-inch by 2-inch washer"",101.6mm,""101.6 mm"",102mm,""102 mm"",10.16cm,""10.16 cm"",10.2cm,""10.2 cm"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,10908,"4"" X 3"" REDUCING WASHER",{18-44-807},"{""4 inch reducing washer"",""reducing washer"",washer,""4\"" x 3\"" washer"",""BRI washer"",""reduction washer"",""washer fitting"",""fitting washer"",""NEMA compatible reducer"",""plumbing washer"",101.6mm,""101.6 mm"",102mm,""102 mm"",10.16cm,""10.16 cm"",10.2cm,""10.2 cm"",76.2mm,""76.2 mm"",76mm,""76 mm"",7.62cm,""7.62 cm"",7.6cm,""7.6 cm""}"
BRI,109S,"3-1/2"" STEEL LOCKNUT",{18-46-901},"{""3-1/2 inch steel locknut"",locknut,""lock nut"",""NEMA rated locknut"",""steel locknut"",""BRI locknut"",""electrical locknut"",""locking nut"",""3.5 inch locknut"",""109S locknut"",88.9mm,""88.9 mm"",89mm,""89 mm"",8.89cm,""8.89 cm"",8.9cm,""8.9 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1102DC,"1/2"" DIECAST CHASED NIPPLE",{18-42-803},"{""1/2\"" DIECAST CHASED NIPPLE"",""diecast nipple"",""chased nipple"",""chase nipple"",""1/2 inch conduit"",NEMA,metal,""electrical conduit"",""BRI 1102DC"",""conduit fitting"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1103DC,"3/4"" DIECAST CHASED NIPPLE",{18-42-804},"{""3/4 inch diecast chased nipple"",""diecast nipple"",""chased nipple"",""nipple connector"",""metal conduit fitting"",""BRI 1103DC"",""3/4\"" conduit"",""diecast metal"",""electrical fitting"",""NEMA type not applicable"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm""}"
BRI,1104DC,"1"" DIECAST CHASED NIPPLE",{18-42-805},"{""1\"" Diecast Chased Nipple"",""Diecast Nipple"",""Chased Nipple"",Nipple,""Electrical Fitting"",1104DC,BRI,Metal,""NEMA Type"",""1 inch Nipple"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,1105DC,"1-1/4"" DIECAST CHASED NIPPLE",{18-42-806},"{""1-1/4 inch diecast chased nipple"",""diecast nipple"",""chased nipple"",""DC nipple"",""metal nipple"",""electrical conduit fitting"",""NEMA rated nipple"",""rating: high durability"",""1.25 inch diecast fitting"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm""}"
BRI,1106DC,"1-1/2"" DIECAST CHASED NIPPLE",{18-42-901},"{""1-1/2 inch diecast chased nipple"",""diecast nipple"",""chased nipple"",""DC nipple"",""electrical conduit fitting"",""metal conduit fitting"",""1.5 inch chase nipple"",""NEMA rated fittings"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1107DC,"2"" DIECAST CHASED NIPPLE",{18-42-902},"{""2 inch diecast chased nipple"",""diecast nipple"",nipple,""chased nipple"",1107DC,BRI,""metal conduit connector"",""nipple connector"",NEMA,""HVAC fitting"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,1108DC,"2-1/2"" DIECAST CHASED NIPPLE",{18-42-903},"{""2-1/2 inch diecast chased nipple"",""diecast nipple"",""chased nipple"",""nipple fittings"",""electrical conduit"",""metal conduit"",""material: diecast"",""NEMA type: not applicable"",""BRI catalog number 1108DC"",""2.5 inch nipple"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1109DC,"3"" DIECAST CHASED NIPPLE",{18-42-904},"{""3 inch diecast chaser nipple"",""diecast nipple"",""chaser nipple"",""DC nipple"",""die-cast material"",""nipple fittings"",""plumbing fittings"",""NEMA type not applicable"",""electrical conduit accessory"",""BRI electrical parts"",76.2mm,""76.2 mm"",76mm,""76 mm"",7.62cm,""7.62 cm"",7.6cm,""7.6 cm""}"
BRI,110S,"4"" STEEL LOCKNUT",{18-46-902},"{""4\"" Steel Locknut"",Locknut,""Locknut Steel"",""Steel Lock Nut"",""NEMA Type 1"",""Electrical Hardware"",""Machined Steel"",""BRI 110S"",""4 Inch Locknut"",""Lock Nut Steel"",101.6mm,""101.6 mm"",102mm,""102 mm"",10.16cm,""10.16 cm"",10.2cm,""10.2 cm""}"
BRI,1110DC,"3-1/2"" DIECAST CHASED NIPPLE",{18-42-905},"{""3-1/2 inch diecast chased nipple"",""diecast nipple"",""chased nipple"",""nipple connector"",""metal chase nipple"",""BRI 1110DC"",""NEMA rated"",""diecast material"",""electrical conduit connector"",""chase nipple fitting"",88.9mm,""88.9 mm"",89mm,""89 mm"",8.89cm,""8.89 cm"",8.9cm,""8.9 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1111DC,"4"" DIECAST CHASED NIPPLE",{18-42-906},"{""4 inch diecast chased nipple"",""diecast nipple"",""chased nipple"",nipple,""metal nipple"",DC,""die cast"",""plumbing fitting"",""rated for heavy duty"",""NEMA type not applicable"",101.6mm,""101.6 mm"",102mm,""102 mm"",10.16cm,""10.16 cm"",10.2cm,""10.2 cm""}"
BRI,1161,"3/4"" X 1/2"" REDUCING BUSHING",{18-42-601},"{""3/4 inch reducing bushing"",""reducing bushing"",bushing,""brass reducing bushing"",N/A,""rated for 600V"",""reducing adapter"",""pipe bushing"",""NEMA type: N/A"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1162,"1"" X 1/2"" REDUCING BUSHING",{18-42-602},"{""Reducing Bushing"",""1 inch reducing bushing"",""1/2 inch reducing bushing"",""bushing adapter"",""bushing reduction"",""pipe fitting"",""PVC bushing"",""rated for pressure"",""BRI catalog 1162"",""NEMA type not applicable"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,1163,"1"" X 3/4"" REDUCING BUSHING",{18-42-603},"{""Reducing Bushing"",Bushing,""1 inch x 3/4 inch bushing"",RB,""PVC bushing"",NEMA,rated,""BRI reducing bushing"",""electrical fittings"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,1164,"1-1/4"" X 1/2"" REDUCING BUSHING",{18-42-604},"{""1-1/4 inch reducing bushing"",""reducing bushing"",""bushing adapter"",RB-1.25-0.5,PVC,""4.5/5 rating"",NEMA,fitting,""plumbing electrical"",""conduit bushing"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1165,"1-1/4"" X 3/4"" REDUCING BUSHING",{18-42-506},"{""1-1/4 inch reducing bushing"",""reducing bushing"",""bushing adapter"",bushing,""NPT bushing"",""plastic bushing"",""BRI reducing bushing"",""NEMA reducing bushing"",""1.25 inch bushing"",""rated reducing bushing"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm""}"
BRI,1167,"1-1/2"" X 1/2"" REDUCING BUSHING",{18-42-607},"{""1-1/2\"" X 1/2\"" REDUCING BUSHING"",""reducing bushing"",""adapter bushing"",""bushing adapter"",""BRI 1167"",""NEMA type not applicable"",""PVC material"",""ratings not specified"",""pipe fitting"",reducer,38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
BRI,1168,"1-1/2"" X 3/4"" REDUCING BUSHING",{18-42-507},"{""1-1/2\"" Reducing Bushing"",""reducing bushing"",""adapter bushing"",""bushing reducer"",""NPT reducing bushing"",""plastic reducing bushing"",""metal reducing bushing"",""BRI reducing bushing"",""1168 bushing"",""size 1 1/2\"" x 3/4\"" bushing"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm""}"
BRI,1169,"1-1/2"" X 1"" REDUCING BUSHING",{18-42-609},"{""1-1/2\"" X 1\"" reducing bushing"",""reducing bushing"",""bushing reducer"",bushing,""plastic reducing bushing"",""BRI 1169"",""NEMA type not applicable"",""red bushing"",""rated for indoor use"",""size 1-1/2 inch"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
BRI,1170,"1-1/2"" X 1-1/4"" REDUCING BUSHING",{18-42-701},"{""1-1/2\"" X 1-1/4\"" reducing bushing"",""reducing bushing"",""reducer fitting"",bushing,""NEMA type"",""PVC bushing"",""plumbing fitting"",""red reducing fitting"",""BRI catalog 1170"",""1.5 inch x 1.25 inch bushing"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm""}"
BRI,1172,"2"" X 3/4"" REDUCING BUSHING",{18-42-703},"{""2 inch reducing bushing"",""reducing bushing"",bushing,""red bushing"",""bushing connector"",""plastic bushing"",""NEMA type bushing"",""electrical fitting"",""2x3/4 bushing"",""BRI catalog 1172"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
BRI,1173,"2"" X 1"" REDUCING BUSHING",{18-42-704},"{""2 inch reducing bushing"",""reducing bushing"",""bushing adapter"",""2\""x1\"" bushing"",""PVC reducing bushing"",""NEMA rated"",""electrical conduit fitting"",""BRI red bushing"",""bushing connector"",""red bushing"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
